id,name,latitude,longitude,neighbourhood_cleansed,city,property_type,room_type,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
38585,Charming Victorian home - twin beds + breakfast,35.65146,-82.62791999999999,28804,Asheville,House,Private room,1,1.0,50.0,2010-07-13,t,1,1,138,96.0,f,moderate
80905,French Chic Loft,35.59779,-82.5554,28801,Asheville,Loft,Entire home/apt,3,2.0,765.0,2011-03-07,t,6,1,108,96.0,t,super_strict_60
108061,Walk to stores/parks/downtown. Fenced yard/Pets OK,35.6067,-82.55563000000001,28801,Asheville,Apartment,Entire home/apt,1,1.0,75.0,2010-12-16,f,2,30,89,90.0,f,strict_14_with_grace_period
155305,Cottage! BonPaul + Sharky's Hostel,35.57864,-82.59578,28806,Asheville,Guesthouse,Entire home/apt,1,1.0,107.0,2011-06-26,t,2,1,240,90.0,t,moderate
156805,"Private Room ""Ader"" at BPS Hostel",35.57864,-82.59578,28806,Asheville,House,Private room,1,2.5,71.0,2011-06-26,t,2,1,67,90.0,t,moderate
156926,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",35.57864,-82.59578,28806,Asheville,House,Shared room,1,2.5,26.0,2011-06-26,t,1,1,292,94.0,t,moderate
160594,Historic Grove Park,35.61442,-82.54127,28801,Asheville,House,Private room,1,1.0,125.0,2011-07-02,f,1,30,58,99.0,f,moderate
209068,Terrace Cottage,35.618559999999995,-82.55275999999999,28804,Asheville,Guest suite,Entire home/apt,1,1.0,134.0,2011-08-28,f,2,7,54,97.0,f,strict_14_with_grace_period
213006,Blue Gate West,35.58345,-82.59713,28806,Asheville,Bungalow,Private room,1,1.0,46.0,2011-09-01,t,1,1,137,97.0,f,moderate
246315,Asheville Dreamer's Cabin,35.59635,-82.50655,28805,Asheville,Cabin,Private room,1,1.0,65.0,2011-10-14,f,1,3,57,93.0,f,strict_14_with_grace_period
295496,The Fern Street Apt near Biltmore,35.55537,-82.53539,28803,Asheville,Apartment,Entire home/apt,1,1.0,50.0,2011-12-13,f,1,28,31,93.0,f,strict_14_with_grace_period
304379,Refocus Cottage - paradise,35.644529999999996,-82.52586,28804,Asheville,Guesthouse,Entire home/apt,2,1.0,289.0,2012-01-04,t,3,30,24,98.0,f,moderate
427497,Luxurious Mountain Guest Suite Apartment,35.49111,-82.48438,28803,Asheville,Guest suite,Entire home/apt,1,1.0,125.0,2012-03-12,f,2,2,37,99.0,t,moderate
436476,Garden View Apt- Walk Downtown,35.601820000000004,-82.56174,28801,Asheville,Guest suite,Entire home/apt,1,1.5,96.0,2011-04-02,t,2,5,285,98.0,f,moderate
483384,"Romantic, Moroccan-Influenced Cottage",35.56118,-82.57784000000001,28803,Asheville,Cottage,Entire home/apt,1,1.0,115.0,2011-03-27,t,2,2,444,100.0,t,flexible
495111,Walk Downtown private bath peaceful,35.60371,-82.55621,28801,Asheville,House,Private room,0,1.0,95.0,2014-03-06,t,2,1,323,98.0,f,moderate
528535,Dwntwn Studio w/ lots of character,35.60075,-82.5539,28801,Asheville,Guest suite,Entire home/apt,1,1.0,99.0,2012-06-10,f,1,30,351,93.0,f,moderate
539020,Comfy/quiet West Asheville getaway,35.57318,-82.59976,28806,Asheville,Apartment,Entire home/apt,1,1.0,100.0,2012-06-15,t,2,2,185,96.0,f,flexible
621243,The birdhouse.Sweet suite! Downtown Roof top deck!,35.60418,-82.54964,28801,Asheville,Apartment,Entire home/apt,1,1.0,132.0,2012-07-28,f,2,30,68,97.0,t,strict_14_with_grace_period
634319,Private Asheville Cabin Apartment,35.62839,-82.47989,28805,Asheville,Apartment,Entire home/apt,2,1.5,150.0,2011-09-24,f,4,3,30,99.0,f,strict_14_with_grace_period
660702,Private Home 1 mile to downtown,35.62166,-82.55373,28804,Asheville,House,Entire home/apt,1,1.0,75.0,2012-08-21,t,2,1,434,94.0,t,moderate
674894,Lovely mountain home with a view!,35.62272,-82.50285,28805,Asheville,House,Private room,1,1.0,49.0,2011-05-22,f,2,2,172,92.0,f,flexible
695196,"Private, Downtown & River Arts",35.581309999999995,-82.55741,28801,Asheville,House,Private room,1,1.0,49.0,2012-09-12,t,1,1,937,93.0,t,moderate
720609,City Vibe Loft,35.59787,-82.55336,28801,Asheville,Loft,Entire home/apt,4,1.0,309.0,2011-03-07,t,4,1,85,97.0,f,super_strict_60
723349,#2 Blue Ridge Room at Oakland Cottage B&B,35.57468,-82.55705,28801,Asheville,Bed and breakfast,Private room,1,1.0,171.0,2012-10-02,t,2,2,5,88.0,f,strict_14_with_grace_period
723410,Asheville Mountain Vista 3mi to Downtown Asheville,35.62894,-82.51751,28804,Asheville,House,Entire home/apt,4,3.0,295.0,2012-10-02,t,4,3,17,100.0,f,strict_14_with_grace_period
751963,Come Home in West Asheville!,35.57805,-82.58341999999999,28806,Asheville,House,Entire home/apt,2,2.5,99.0,2012-10-19,f,2,1,100,97.0,f,moderate
840696,❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,35.58395,-82.56161,28801,Asheville,House,Entire home/apt,2,2.0,224.0,2012-12-12,t,2,2,366,100.0,f,strict_14_with_grace_period
