id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,review_scores_rating,cancellation_policy
38585,Charming Victorian home - twin beds + breakfast,165529,Evelyne,7/13/2010,N/A,N/A,94%,t,Asheville,28804,35.65146,-82.62792,House,Private room,2,1,1,$50.00 ,$150.00 ,$0.00 ,96,moderate
80905,French Chic Loft,427027,Celeste,3/7/2011,within an hour,100%,98%,t,Asheville,28801,35.59779,-82.5554,Loft,Entire home/apt,12,2,3,$765.00 ,$200.00 ,$0.00 ,96,super_strict_60
108061,Walk to stores/parks/downtown. Fenced yard/Pets OK,320564,Lisa,12/16/2010,within an hour,100%,67%,f,Asheville,28801,35.6067,-82.55563,Apartment,Entire home/apt,2,1,1,$75.00 ,$0.00 ,$0.00 ,90,strict_14_with_grace_period
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,6/26/2011,within an hour,100%,99%,t,Asheville,28806,35.57864,-82.59578,Guesthouse,Entire home/apt,2,1,1,$107.00 ,$0.00 ,$15.00 ,90,moderate
156805,"Private Room ""Ader"" at BPS Hostel",746673,BonPaul,6/26/2011,within an hour,100%,99%,t,Asheville,28806,35.57864,-82.59578,House,Private room,2,2.5,1,$71.00 ,,,90,moderate
156926,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",746673,BonPaul,6/26/2011,within an hour,100%,99%,t,Asheville,28806,35.57864,-82.59578,House,Shared room,1,2.5,1,$26.00 ,$0.00 ,$0.00 ,94,moderate
160594,Historic Grove Park,769252,Elizabeth,7/2/2011,N/A,N/A,N/A,f,Asheville,28801,35.61442,-82.54127,House,Private room,2,1,1,$125.00 ,$300.00 ,$30.00 ,99,moderate
209068,Terrace Cottage,1029919,Kevin,8/28/2011,within a few hours,100%,100%,f,Asheville,28804,35.61856,-82.55276,Guest suite,Entire home/apt,4,1,1,$134.00 ,$250.00 ,$45.00 ,97,strict_14_with_grace_period
213006,Blue Gate West,1098412,Susanne,9/1/2011,within a few hours,100%,94%,t,Asheville,28806,35.58345,-82.59713,Bungalow,Private room,1,1,1,$46.00 ,$0.00 ,$25.00 ,97,moderate
246315,Asheville Dreamer's Cabin,1292070,Annie,10/14/2011,within a few hours,100%,80%,f,Asheville,28805,35.59635,-82.50655,Cabin,Private room,2,1,1,$65.00 ,$250.00 ,$65.00 ,93,strict_14_with_grace_period
295496,The Fern Street Apt near Biltmore,1501882,Debbie,12/13/2011,within a day,100%,0%,f,Asheville,28803,35.55537,-82.53539,Apartment,Entire home/apt,2,1,1,$50.00 ,$400.00 ,$75.00 ,93,strict_14_with_grace_period
304379,Refocus Cottage - paradise,1566145,Gayle,1/4/2012,within an hour,100%,100%,t,Asheville,28804,35.64453,-82.52586,Guesthouse,Entire home/apt,4,1,2,$289.00 ,$0.00 ,$135.00 ,98,moderate
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,3/12/2012,within a few hours,100%,100%,f,Asheville,28803,35.49111,-82.48438,Guest suite,Entire home/apt,2,1,1,$125.00 ,$0.00 ,$50.00 ,99,moderate
436476,Garden View Apt- Walk Downtown,478398,Heidi,4/2/2011,within an hour,100%,100%,t,Asheville,28801,35.60182,-82.56174,Guest suite,Entire home/apt,2,1.5,1,$96.00 ,$150.00 ,$50.00 ,98,moderate
483384,"Romantic, Moroccan-Influenced Cottage",467421,Camille,3/27/2011,within an hour,100%,100%,t,Asheville,28806,35.56118,-82.57784,Cottage,Entire home/apt,3,1,1,$115.00 ,$0.00 ,$40.00 ,100,flexible
495111,Walk Downtown private bath peaceful,12874214,David,3/6/2014,within an hour,100%,100%,t,Asheville,28801,35.60371,-82.55621,House,Private room,2,1,0,$95.00 ,$300.00 ,$25.00 ,98,moderate
528535,Dwntwn Studio w/ lots of character,2596933,B,6/10/2012,within an hour,100%,100%,f,Asheville,28801,35.60075,-82.5539,Guest suite,Entire home/apt,2,1,1,$99.00 ,$100.00 ,$35.00 ,93,moderate
539020,Comfy/quiet West Asheville getaway,2647849,Kim,6/15/2012,N/A,N/A,86%,t,Asheville,28806,35.57318,-82.59976,Apartment,Entire home/apt,4,1,1,$100.00 ,$0.00 ,$40.00 ,96,flexible
